,N,Missing,% Missing,Mean,SD,Min,P25,P50 (Median),P75,Max
gap_count_fede_corp_common,18018.0,29873,62.38,13.018426018426018,14.351516489996289,0.0,3.0,8.0,18.0,94.0
gap_count_fede_corp_software,17963.0,29928,62.49,1.0381339419918723,1.3531538718236524,0.0,0.0,0.0,2.0,9.0
gap_count_fede_corp_specialized,18018.0,29873,62.38,93.4000444000444,182.2195231721181,0.0,6.0,22.0,85.0,2158.0
gap_count_univ_corp,35669.0,12222,25.52,235.1602792340688,379.74154660697207,0.0,17.0,69.0,274.0,2878.0
gap_count_univ_corp_common,35668.0,12223,25.52,21.17082538970506,19.637763268182088,0.0,5.0,15.0,33.0,138.0
gap_count_univ_corp_software,35184.0,12707,26.53,1.377756934970441,1.6101975200888006,0.0,0.0,1.0,2.0,10.0
gap_count_univ_corp_specialized,35669.0,12222,25.52,212.63102413860776,363.29014526003726,0.0,11.0,52.0,239.0,2787.0
gap_count_univ_fede,16941.0,30950,64.63,603.9786907502508,697.1701249164339,0.0,101.0,342.0,848.0,5072.0
gap_count_univ_fede_common,16928.0,30963,64.65,48.42101843100189,29.03997119215654,0.0,25.0,48.0,70.0,161.0
gap_count_univ_fede_software,15564.0,32327,67.5,2.355242868157286,1.864780288604307,0.0,1.0,2.0,4.0,11.0
gap_count_univ_fede_specialized,16941.0,30950,64.63,553.4310253231805,674.5266456339523,0.0,74.0,291.0,772.0,4944.0
gap_relatedness_fede_corp,17478.0,30413,63.5,0.160016140873803,0.04846583809647195,0.00933926086872816,0.12641942501068115,0.15161490440368652,0.18219701200723648,0.5582444667816162
gap_relatedness_fede_corp_common,16479.0,31412,65.59,0.25383045910858465,0.06314070839852541,0.05145886540412903,0.21227990090847015,0.24324873089790344,0.2872868478298187,0.5714861750602722
gap_relatedness_fede_corp_software,8370.0,39521,82.52,0.05047186269648646,0.03488503780312386,0.0,0.025867429561913013,0.04448806308209896,0.0659828744828701,0.35664334893226624
gap_relatedness_fede_corp_specialized,17114.0,30777,64.26,0.15636975582325746,0.04680250328556873,0.012303405441343784,0.12442498467862606,0.14833496510982513,0.1764320395886898,0.5234813094139099
gap_relatedness_univ_corp,35206.0,12685,26.49,0.19033274350251167,0.05585769517169587,0.0032850978896021843,0.15009589865803719,0.18441615998744965,0.22272654995322227,0.6049222350120544
gap_relatedness_univ_corp_common,33783.0,14108,29.46,0.2812942409384467,0.0684599481193776,0.06613404303789139,0.23422223329544067,0.27421268820762634,0.3195679783821106,0.7438629269599915
gap_relatedness_univ_corp_software,18243.0,29648,61.91,0.055626894984724895,0.03473851891774143,0.0,0.032522765919566154,0.049719929695129395,0.0704612210392952,0.36000001430511475
gap_relatedness_univ_corp_specialized,34737.0,13154,27.47,0.18217008427161568,0.051426919448532206,0.00888758059591055,0.14510273933410645,0.1767786592245102,0.21180209517478943,0.6452339887619019
gap_relatedness_univ_fede,16922.0,30969,64.67,0.18755233584676542,0.05702066890458441,0.023091940209269524,0.14745480939745903,0.1770561933517456,0.21391002088785172,0.8173745274543762
gap_relatedness_univ_fede_common,16115.0,31776,66.35,0.2960173993257865,0.06771732197904454,0.10576111823320389,0.2490173876285553,0.2885308265686035,0.33442792296409607,0.8039538860321045
gap_relatedness_univ_fede_software,7996.0,39895,83.3,0.06413250180754392,0.04136853784337695,0.0,0.03477435279637575,0.05570366978645325,0.08304242044687271,0.43589743971824646
gap_relatedness_univ_fede_specialized,16762.0,31129,65.0,0.17448247197950778,0.05079663176182176,0.010204081423580647,0.14073296636343002,0.16462720185518265,0.1952323578298092,0.8173745274543762
gove_churning_entries,37383.0,10508,21.94,72.47917502608138,139.15877579164547,0.0,5.0,24.0,75.0,3799.0
gove_churning_exits,37383.0,10508,21.94,61.555814140117164,129.64869701166717,0.0,3.0,18.0,61.0,4129.0
gove_churning_net,37383.0,10508,21.94,10.923360885964208,108.84246031848429,-3793.0,-11.0,3.0,26.0,3378.0
gove_cosine_distance,30630.0,17261,36.04,0.38922089902016965,0.27916925704889245,-2.220446049250313e-16,0.15581132052447536,0.32750433162682074,0.5784301948804162,1.0
hidalgo_fede_corp,18018.0,29873,62.38,0.17734215844628093,0.055294961198762205,0.04601503908634186,0.13601437583565712,0.16989973187446594,0.20577939227223396,0.5601254105567932
hidalgo_fede_corp_common,17283.0,30608,63.91,0.2899871454731786,0.06653500971625759,0.08435919880867004,0.24675773829221725,0.2891199290752411,0.33127348124980927,0.5839682221412659
hidalgo_fede_corp_software,10118.0,37773,78.87,0.049734855806262177,0.030823797239658748,0.0,0.028655062895268202,0.04565609246492386,0.06489505432546139,0.35664334893226624
hidalgo_fede_corp_specialized,17908.0,29983,62.61,0.17041878243198924,0.05220512795899787,0.027325714007019997,0.13292644172906876,0.1614294871687889,0.19581056386232376,0.5404787659645081
hidalgo_univ_corp,35669.0,12222,25.52,0.2066975455002315,0.060193549921400365,0.0032850978896021843,0.16285012662410736,0.20270274579524994,0.2435007393360138,0.5664989352226257
hidalgo_univ_corp_common,34702.0,13189,27.54,0.31363327437930716,0.06885963412488637,0.06613404303789139,0.27076155692338943,0.3133697509765625,0.3554996848106384,0.7438629269599915
hidalgo_univ_corp_software,20889.0,27002,56.38,0.05371175964324053,0.030523595083635353,0.0,0.034375082701444626,0.04913754016160965,0.06763285398483276,0.36000001430511475
hidalgo_univ_corp_specialized,35292.0,12599,26.31,0.1939877709233442,0.05373483345981798,0.01863885670900345,0.1553167626261711,0.18988151103258133,0.22607524693012238,0.6019794940948486
hidalgo_univ_fede,16941.0,30950,64.63,0.18957550909965448,0.057279525101309084,0.030285943299531937,0.14944717288017273,0.17880754172801971,0.21574482321739197,0.8173745274543762
hidalgo_univ_fede_common,16169.0,31722,66.24,0.3006121801883231,0.06561072038844064,0.07514124363660812,0.2557283639907837,0.2930119037628174,0.33872100710868835,0.8039538860321045
hidalgo_univ_fede_software,8730.0,39161,81.77,0.06434287565217843,0.03553226879677795,0.0,0.040181124582886696,0.058675697073340416,0.08369196578860283,0.3461538553237915
hidalgo_univ_fede_specialized,16783.0,31108,64.96,0.17558857638332048,0.05073547477783599,0.010204081423580647,0.1420067995786667,0.16568945348262787,0.196245938539505,0.8173745274543762
jaccard_fede_corp,18018.0,29873,62.38,0.02753521681649604,0.03506348941607387,0.0,0.0064163770666169975,0.01520649777565226,0.03467651759053701,0.5384615384615384
jaccard_fede_corp_common,18018.0,29873,62.38,0.08641093739437057,0.06904600457948426,0.0,0.03193617021276596,0.072,0.12751677852348994,0.6521739130434783
jaccard_fede_corp_software,17269.0,30622,63.94,0.09687426582917652,0.1646615747663469,0.0,0.0,0.0,0.16666666666666666,1.0
jaccard_fede_corp_specialized,18018.0,29873,62.38,0.022794247810977396,0.03449995889550079,0.0,0.003305785123966942,0.009540421694452982,0.027414262092219588,0.5625
jaccard_univ_corp,35669.0,12222,25.52,0.04748526391244648,0.04257084182694526,0.0,0.014527845036319613,0.03636363636363636,0.06965174129353234,0.7027027027027027
jaccard_univ_corp_common,35668.0,12223,25.52,0.1211592556971743,0.0795730563301169,0.0,0.05555555555555555,0.11724137931034483,0.17647058823529413,0.6666666666666666
jaccard_univ_corp_software,33248.0,14643,30.58,0.11108918892009781,0.17718671006686848,0.0,0.0,0.0,0.2,1.0
jaccard_univ_corp_specialized,35669.0,12222,25.52,0.03881681187186771,0.04258256719894154,0.0,0.0066298342541436465,0.024113475177304965,0.05846071332796997,0.7307692307692307
jaccard_univ_fede,16941.0,30950,64.63,0.043752619501663516,0.050654707400896955,0.0,0.013011152416356878,0.032716927453769556,0.06140350877192982,1.0
jaccard_univ_fede_common,16928.0,30963,64.65,0.10089163074977511,0.07945409269625799,0.0,0.041666666666666664,0.09375,0.14814814814814814,1.0
jaccard_univ_fede_software,15079.0,32812,68.51,0.13465287760997025,0.20841692826769379,0.0,0.0,0.0,0.25,1.0
jaccard_univ_fede_specialized,16941.0,30950,64.63,0.030451620898657442,0.04957115151617164,0.0,0.0,0.014511873350923483,0.041379310344827586,1.0
n_remote_other,47891.0,0,0.0,59.491177883109565,575.805465119044,0.0,0.0,0.0,3.0,30003.0
rca_overlap_fede_corp,18018.0,29873,62.38,3.561709188190846,30.40200170223867,0.0,0.8959686047703862,1.1900633950203756,1.8464647191341572,2934.260280104502
rca_overlap_fede_corp_common,17284.0,30607,63.91,1.1986429208984573,2.042268434213787,0.0,0.9555966855866547,1.069657810653204,1.2178017714742333,193.68164785141337
rca_overlap_fede_corp_software,10604.0,37287,77.86,0.9373697132205958,0.8736646745176068,0.0,0.7158998660663782,0.9058767942612875,1.074288133133418,55.578346143605096
rca_overlap_fede_corp_specialized,17908.0,29983,62.61,4.7041315789507365,55.737366009190616,0.0,0.8145863466855673,1.22231393483352,2.1169838304096,5868.520560209004
rca_overlap_univ_corp,35669.0,12222,25.52,4.726984678548742,101.32330685856473,0.0,0.8228316337281016,1.123632707363205,1.7150799890923156,12266.624704817363
rca_overlap_univ_corp_common,34709.0,13182,27.53,1.2152977680885249,1.7677729991032285,0.0,0.913780351365269,1.065044613670588,1.265226245971351,162.44269135271605
rca_overlap_univ_corp_software,22836.0,25055,52.32,0.9078946002717795,1.3721016608393948,0.0,0.5489450129838749,0.8037130923204774,1.053144922732818,142.18170009156862
rca_overlap_univ_corp_specialized,35295.0,12596,26.3,6.607713532198278,163.7356557435664,0.0,0.7043630008689008,1.113749886526253,1.8687420306575369,20443.13039349517
rca_overlap_univ_fede,16941.0,30950,64.63,4.916825914960577,71.5057577210033,0.0,0.2705786961424737,0.6947806203626674,1.3493819266975338,5769.775828563906
rca_overlap_univ_fede_common,16794.0,31097,64.93,1.9818435663115648,20.289260408065147,0.0,0.3667059502846024,0.7737875716089063,1.3507417810125464,1726.5340065963053
rca_overlap_univ_fede_software,13624.0,34267,71.55,4.158507324226706,352.77066618163525,0.0,0.0,0.10719031208856855,1.0302983304955347,41169.34090909091
rca_overlap_univ_fede_specialized,16879.0,31012,64.76,6.624623273145978,105.21469268740418,0.0,0.0,0.5502883174488391,1.2550974472019836,7607.61302036736
staf_churning_entries,41605.0,6286,13.13,152.25931979329408,288.58567637090454,0.0,11.0,43.0,140.0,3443.0
staf_churning_exits,41605.0,6286,13.13,136.81288306693907,272.48894108658016,0.0,8.0,35.0,120.0,3753.0
staf_churning_net,41605.0,6286,13.13,15.446436726355005,98.96078124440847,-2608.0,-12.0,4.0,33.0,1983.0
staf_cosine_distance,37505.0,10386,21.69,0.4388920306062152,0.29173043015944433,-2.220446049250313e-16,0.19267829843825712,0.3912512634361527,0.6587986173558049,1.0
univ_churning_entries,27409.0,20482,42.77,103.5934182202926,190.49787376760398,0.0,5.0,27.0,107.0,1792.0
univ_churning_exits,27409.0,20482,42.77,88.66292093837791,171.43070601450037,0.0,3.0,20.0,88.0,2448.0
univ_churning_net,27409.0,20482,42.77,14.9304972819147,103.50567761763172,-1826.0,-10.0,3.0,27.0,1387.0
univ_cosine_distance,21455.0,26436,55.2,0.2981116300001071,0.2668444526546923,-2.220446049250313e-16,0.08614943806426423,0.20965199422639758,0.44436804388816753,1.0
